entity,VTLabel
000webhostapp.com,M
web.app,C
com-ov.ru,C
csb.app,C
com-oa.ru,M
com-fe.ru,M
com-tp.ru,M
justns.ru,M
com-nu.ru,C
calebetienne.com,M
creatorlink.net,M
com-mv.ru,M
filesusr.com,C
codesandbox.io,C
amazonaws.com,C
myfreesites.net,C
afristream.tv,M
webcindario.com,M
com-cn.ru,M
villalarnia.org,C
cloudaccess.host,C
com-dg.ru,C
cprapid.com,M
regruhosting.ru,M
com-wsvs.top,C
a2ip.ru,M
mobileglobal.ae,M
net2care.com,M
com-fn.ru,C
forumz.info,M
builderall.com,C
gravitybuilders.pk,C
synchro.co.id,C
windows.net,C
github.io,C
godaddysites.com,C
moonfruit.com,C
azurewebsites.net,C
wapka.website,C
kamat.ae,C
kets.sd,M
activehosted.com,C
webflow.io,C
cso.gov.tt,C
appdomain.cloud,C
tumblr.com,C
mfs.gg,C
webydo.com,C
mipropia.com,C
selcdn.ru,M
googleapis.com,C
saintsolomon1.com,M
flywheelsites.com,C
grafikus.co,C
swtest.ru,M
8b.io,C
freedynamicdns.net,M
surfshop.ma,M
drv.tw,C
agilecrm.com,C
serveftp.com,M
nizzam.net,M
abumarico.ps,C
googleusercontent.com,C
xxuz.com,M
atwebpages.com,C
sendgrid.net,C
wikaba.com,M
gitlab.io,C
presprosarl.com,M
test-account.com,C
hop.ru,M
kingschefnigeria.com,C
cabanova.com,C
zzux.com,M
vknssb.cn,M
playvisual.co,M
mypi.co,M
secureserver.net,C
zorich.com.au,C
jkub.com,M
com-gf.ru,M
retrocafe.net.au,C
stackblitz.io,C
webnode.com,C
sg-host.com,C
servebeer.com,M
sitebeat.site,M
herokuapp.com,C
otzo.com,M
xsph.ru,M
bero-webspace.de,M
tcorner.fr,C
zidmy.co,M
oferta-payment.stream,M
azure.com,C
rakutenn.vip,M
pl-savepaid.club,M
renew-supportbilling.com,M
com-oc.ru,M
ettastore.com.ng,M
secure-track-delivery.com,C
aicsolutions.co.za,M
lloydbank-online-help.com,M
registe.xyz,M
ayaline.com,C
milkco.shop,M
websicredi.com.br,C
arabicnikah.com,C
ebikestoreverona.it,M
gkjx168.com,M
02alertbilling.com,M
tokullarmobilya.com,C
wordpress.com,C
wcomhost.com,M
hortipower.co.uk,M
workers.dev,C
binance-china.com,M
odbeqd.cn,M
allgamescheaper.com,M
interestingfurniture.com,M
adnet8.com,M
probox.lk,M
es.tl,C
pl-getbuys.club,C
stolizaparketa.ru,M
qdevtools.com,M
com-ro.ru,M
cancelpayee-now.com,M
ramgarhiamatrimonial.ca,M
ibos-online24.com,M
jptechdocsign.net,M
